Model,Family,closed_acc,open_acc,overall_acc
LLaVA-3B-CLIP,ours,81.48,62.92,69.93
LLaVA-1B-MedSigLIP,ours,75.93,55.06,62.94
LLaVA-3B-MedSigLIP,ours,79.63,49.44,60.84
LLaVA-8B-CLIP,ours,75.93,49.44,59.44
LLaVA-1B-CLIP,ours,70.37,46.07,55.24
GPT-5,baseline,64.81,48.31,54.55
OctoMed-7B,baseline,57.41,50.56,53.15
Qwen2.5-VL-7B,baseline,55.56,43.82,48.25
llava-med,baseline,53.7,39.33,44.76
GPT-4o,baseline,53.7,38.2,44.06
MedGemma-4B,baseline,64.81,30.34,43.36
Fleming-VL-8B,baseline,75.93,21.35,41.96
Med-Flamingo,baseline,51.85,34.83,41.26
Llama-3.2-11B-Vision,baseline,55.56,28.09,38.46
LLaVA-1.5-7B,baseline,50.0,28.09,36.36
Qwen2-VL-7B,baseline,57.41,23.6,36.36
